Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
HS01435,FIC A957 1988,Something upstairs,Avi,4919,,9780545214919,New York,Scholastic Inc.,FIC,140p. ; 20 cm.,,
HS01436,FIC M269 2013,Scorched,"Mancusi, Mari",3317,,9780545773317,New York,Scholastic Inc.,FIC,342p. ; 21 cm.,,
HS01437,GC 303.4 D53 2005,"Guns, germs, and steel","Diamond, Jared",1314,,9780393061314,New York,"W.W. Norton & Company, Inc.",GC,518p. : ill. ; 24 cm.,,
HS01438,FIC K281 1947,Three came home,"Keith, Agnes Newton",,,,Virginia,"Time-Life Books Inc.,",FIC,"xv, 304p. : ill. ; 21 cm.",,
HS01439,FIC P615 1998,Circle of magic,"Pierce, Tamora",4084,,9780590554084,New York,Scholastic Inc.,FIC,252p. ; 18 cm.,,
HS01440,FIC C213 2011,The rogue,"Canavan, Trudi",7846,,9780316037846,New York,Orbit,FIC,530p. ; 18 cm.,,
HS01441,FIC F583 2011,"Brotherband chronicles, book 1: the outcasts","Flanagan, John",1944,,9780142421944,New York,Penguin Group,FIC,434p. ; 20 cm.,,
HS01442,FIC J9542 1992,Junior great books,,3079,,1880323079,Chicago,The great books foundation,FIC,"v, 199p. ; 24 cm.",,
HS01443,FIC R569 2011,Miss pregrine's home for peculiar children,"Riggs, Ransom",6031,,9781594746031,Philadelphia,Quirk Books,FIC,382p. : ill. ; 21 cm.,,
HS01444,FIC R881 2013,Eleanor & park,"Rowell, Rainbow",3992,,9781250053992,New York,St. Martin's Griffin,FIC,328p. ; 21 cm.,,
HS01445,FIC T969 2011,The prince and the pauper,"Twain, Mark",0063,,9780007420063,London,Collin Classics,FIC,"vii, 248p. ; 18 cm.",,
HS01446,FIC T969a 1994,Adventures of huckleberry finn,"Twain, Mark",0616,,486280616,New York,"Dover publications, Inc.",FIC,220p. ; 21 cm.,,
HS01447,FIC R8451 2013,Allegiant,"Roth, Veronica",4060,,9780062024060,New York,Katherine Tegen Books,FIC,526p. ; 21 cm.,,
HS01448,FIC S9771 1994,Gulliver's travels,"Swift, Jonathan",3642,,9780140623642,London,Penguin Books,FIC,329p. ; 18 cm.,,
HS01449,FIC K561 2014,Shopaholic to the stars,"Kinsella, Sophie",9174,,9780812999174,New York,Dell,FIC,472p. ; 18 cm.,,
HS01450,FIC N713 2005,Charlie bone and the castle of mirrors: children of the red king book 4,"Nimmo, Jenny",5285,,439545285,New York,Orchard Books,FIC,"xvi, 410p. ; 22 cm.",,
HS01451,FIC N2186 1972,The ramayana,"Narayan, R.K.",7006,,140187006,New York,Penguin Books,FIC,"xvi, 170p. ; 20 cm.",,
HS01452,FIC S6421 2013,This is what happy looks like,"Smith, Jennifer E.",2816,,9780316212816,New York,"Little, Brown and Company",FIC,404p. ; 21 cm.,,
HS01453,FIC L5662 1965,The arm of the starfish,"L'Engle, Madeleine",4885,,9780312674885,New York,Feiwel and friends,FIC,243p. ; 21 cm.,,
HS01454,FIC R3275 2011,Words in the dust,Reedy Trent,1265,,9780545261265,New York,"Scholastic, Inc.",FIC,264p. ; 20 cm.,,
HS01455,FIC H8851 1989,Green mansions,"Hudson, W.H.",9935,,486259935,New York,"Dover publications, Inc.",FIC,315p. ; 22 cm.,,
